Label,Alabama!!Estimate,Alabama!!Margin of Error,Alabama!!Percent,Alabama!!Percent Margin of Error,Alaska!!Estimate,Alaska!!Margin of Error,Alaska!!Percent,Alaska!!Percent Margin of Error,Arizona!!Estimate,Arizona!!Margin of Error,Arizona!!Percent,Arizona!!Percent Margin of Error,Arkansas!!Estimate,Arkansas!!Margin of Error,Arkansas!!Percent,Arkansas!!Percent Margin of Error,California!!Estimate,California!!Margin of Error,California!!Percent,California!!Percent Margin of Error,Colorado!!Estimate,Colorado!!Margin of Error,Colorado!!Percent,Colorado!!Percent Margin of Error,Connecticut!!Estimate,Connecticut!!Margin of Error,Connecticut!!Percent,Connecticut!!Percent Margin of Error,Delaware!!Estimate,Delaware!!Margin of Error,Delaware!!Percent,Delaware!!Percent Margin of Error,District of Columbia!!Estimate,District of Columbia!!Margin of Error,District of Columbia!!Percent,District of Columbia!!Percent Margin of Error,Florida!!Estimate,Florida!!Margin of Error,Florida!!Percent,Florida!!Percent Margin of Error,Georgia!!Estimate,Georgia!!Margin of Error,Georgia!!Percent,Georgia!!Percent Margin of Error,Hawaii!!Estimate,Hawaii!!Margin of Error,Hawaii!!Percent,Hawaii!!Percent Margin of Error,Idaho!!Estimate,Idaho!!Margin of Error,Idaho!!Percent,Idaho!!Percent Margin of Error,Illinois!!Estimate,Illinois!!Margin of Error,Illinois!!Percent,Illinois!!Percent Margin of Error,Indiana!!Estimate,Indiana!!Margin of Error,Indiana!!Percent,Indiana!!Percent Margin of Error,Iowa!!Estimate,Iowa!!Margin of Error,Iowa!!Percent,Iowa!!Percent Margin of Error,Kansas!!Estimate,Kansas!!Margin of Error,Kansas!!Percent,Kansas!!Percent Margin of Error,Kentucky!!Estimate,Kentucky!!Margin of Error,Kentucky!!Percent,Kentucky!!Percent Margin of Error,Louisiana!!Estimate,Louisiana!!Margin of Error,Louisiana!!Percent,Louisiana!!Percent Margin of Error,Maine!!Estimate,Maine!!Margin of Error,Maine!!Percent,Maine!!Percent Margin of Error,Maryland!!Estimate,Maryland!!Margin of Error,Maryland!!Percent,Maryland!!Percent Margin of Error,Massachusetts!!Estimate,Massachusetts!!Margin of Error,Massachusetts!!Percent,Massachusetts!!Percent Margin of Error,Michigan!!Estimate,Michigan!!Margin of Error,Michigan!!Percent,Michigan!!Percent Margin of Error,Minnesota!!Estimate,Minnesota!!Margin of Error,Minnesota!!Percent,Minnesota!!Percent Margin of Error,Mississippi!!Estimate,Mississippi!!Margin of Error,Mississippi!!Percent,Mississippi!!Percent Margin of Error,Missouri!!Estimate,Missouri!!Margin of Error,Missouri!!Percent,Missouri!!Percent Margin of Error,Montana!!Estimate,Montana!!Margin of Error,Montana!!Percent,Montana!!Percent Margin of Error,Nebraska!!Estimate,Nebraska!!Margin of Error,Nebraska!!Percent,Nebraska!!Percent Margin of Error,Nevada!!Estimate,Nevada!!Margin of Error,Nevada!!Percent,Nevada!!Percent Margin of Error,New Hampshire!!Estimate,New Hampshire!!Margin of Error,New Hampshire!!Percent,New Hampshire!!Percent Margin of Error,New Jersey!!Estimate,New Jersey!!Margin of Error,New Jersey!!Percent,New Jersey!!Percent Margin of Error,New Mexico!!Estimate,New Mexico!!Margin of Error,New Mexico!!Percent,New Mexico!!Percent Margin of Error,New York!!Estimate,New York!!Margin of Error,New York!!Percent,New York!!Percent Margin of Error,North Carolina!!Estimate,North Carolina!!Margin of Error,North Carolina!!Percent,North Carolina!!Percent Margin of Error,North Dakota!!Estimate,North Dakota!!Margin of Error,North Dakota!!Percent,North Dakota!!Percent Margin of Error,Ohio!!Estimate,Ohio!!Margin of Error,Ohio!!Percent,Ohio!!Percent Margin of Error,Oklahoma!!Estimate,Oklahoma!!Margin of Error,Oklahoma!!Percent,Oklahoma!!Percent Margin of Error,Oregon!!Estimate,Oregon!!Margin of Error,Oregon!!Percent,Oregon!!Percent Margin of Error,Pennsylvania!!Estimate,Pennsylvania!!Margin of Error,Pennsylvania!!Percent,Pennsylvania!!Percent Margin of Error,Rhode Island!!Estimate,Rhode Island!!Margin of Error,Rhode Island!!Percent,Rhode Island!!Percent Margin of Error,South Carolina!!Estimate,South Carolina!!Margin of Error,South Carolina!!Percent,South Carolina!!Percent Margin of Error,South Dakota!!Estimate,South Dakota!!Margin of Error,South Dakota!!Percent,South Dakota!!Percent Margin of Error,Tennessee!!Estimate,Tennessee!!Margin of Error,Tennessee!!Percent,Tennessee!!Percent Margin of Error,Texas!!Estimate,Texas!!Margin of Error,Texas!!Percent,Texas!!Percent Margin of Error,Utah!!Estimate,Utah!!Margin of Error,Utah!!Percent,Utah!!Percent Margin of Error,Vermont!!Estimate,Vermont!!Margin of Error,Vermont!!Percent,Vermont!!Percent Margin of Error,Virginia!!Estimate,Virginia!!Margin of Error,Virginia!!Percent,Virginia!!Percent Margin of Error,Washington!!Estimate,Washington!!Margin of Error,Washington!!Percent,Washington!!Percent Margin of Error,West Virginia!!Estimate,West Virginia!!Margin of Error,West Virginia!!Percent,West Virginia!!Percent Margin of Error,Wisconsin!!Estimate,Wisconsin!!Margin of Error,Wisconsin!!Percent,Wisconsin!!Percent Margin of Error,Wyoming!!Estimate,Wyoming!!Margin of Error,Wyoming!!Percent,Wyoming!!Percent Margin of Error,Puerto Rico!!Estimate,Puerto Rico!!Margin of Error,Puerto Rico!!Percent,Puerto Rico!!Percent Margin of Error
            White,3306838,"±7,059",67.7%,±0.1,474555,"±3,233",64.4%,±0.4,5590505,"±22,425",78.0%,±0.3,2306096,"±6,922",76.5%,±0.2,23535388,"±66,698",59.5%,±0.2,4790677,"±16,307",84.1%,±0.3,2688136,"±12,828",75.2%,±0.4,659781,"±4,626",68.2%,±0.5,296747,"±4,449",42.2%,±0.6,15899574,"±36,490",74.6%,±0.2,6127645,"±17,468",58.3%,±0.2,345652,"±4,853",24.3%,±0.3,1576846,"±8,264",89.9%,±0.5,9135145,"±26,772",71.7%,±0.2,5539927,"±11,682",82.8%,±0.2,2846099,"±5,629",90.2%,±0.2,2446823,"±8,485",84.0%,±0.3,3875023,"±6,230",86.7%,±0.1,2877115,"±7,740",61.7%,±0.2,1261453,"±1,633",94.3%,±0.1,3305047,"±13,606",54.7%,±0.2,5335175,"±17,166",77.3%,±0.2,7825285,"±9,602",78.3%,±0.1,4629375,"±8,116",82.5%,±0.1,1735455,"±3,704",58.1%,±0.1,5035197,"±7,994",82.2%,±0.1,941438,"±2,221",88.6%,±0.2,1666990,"±5,467",86.4%,±0.3,1924976,"±16,699",63.4%,±0.6,1253931,"±3,132",92.4%,±0.2,5956539,"±22,413",66.9%,±0.3,1599938,"±12,680",76.4%,±0.6,12375601,"±34,083",63.3%,±0.2,7098569,"±17,927",68.4%,±0.2,651687,"±2,325",85.7%,±0.3,9470940,"±10,859",81.0%,±0.1,2845906,"±8,621",72.2%,±0.2,3514983,"±11,797",83.9%,±0.3,10256084,"±17,296",80.1%,±0.1,852805,"±9,123",80.7%,±0.9,3407706,"±8,711",67.0%,±0.2,740870,"±2,352",84.0%,±0.3,5235588,"±10,176",77.3%,±0.2,21099066,"±40,621",73.5%,±0.1,2708195,"±10,034",85.7%,±0.3,589337,"±1,241",94.1%,±0.2,5737580,"±15,329",67.4%,±0.2,5633263,"±17,384",74.8%,±0.2,1679773,"±2,458",93.0%,±0.1,4957243,"±8,755",85.3%,±0.2,528453,"±2,729",91.5%,±0.5,2079304,"±22,148",65.1%,±0.7
            Black or African American,1307040,"±7,036",26.7%,±0.1,25197,"±1,976",3.4%,±0.3,336340,"±7,735",4.7%,±0.1,456714,"±6,073",15.2%,±0.2,2283850,"±14,690",5.8%,±0.1,237578,"±6,469",4.2%,±0.1,391552,"±6,600",11.0%,±0.2,217594,"±3,408",22.5%,±0.4,319777,"±4,282",45.5%,±0.6,3410741,"±19,720",16.0%,±0.1,3319691,"±14,563",31.6%,±0.1,28325,"±1,615",2.0%,±0.1,12075,"±3,292",0.7%,±0.2,1793079,"±10,015",14.1%,±0.1,637277,"±7,405",9.5%,±0.1,115137,"±4,782",3.6%,±0.2,171141,"±6,032",5.9%,±0.2,354761,"±6,583",7.9%,±0.1,1509407,"±8,957",32.4%,±0.2,18954,"±1,759",1.4%,±0.1,1810885,"±9,157",30.0%,±0.2,537523,"±9,047",7.8%,±0.1,1376751,"±8,453",13.8%,±0.1,367653,"±5,713",6.6%,±0.1,1135599,"±6,445",38.0%,±0.2,704327,"±6,416",11.5%,±0.1,5056,±999,0.5%,±0.1,91221,"±3,894",4.7%,±0.2,280385,"±7,032",9.2%,±0.2,23432,"±2,654",1.7%,±0.2,1207995,"±12,788",13.6%,±0.1,46064,"±3,269",2.2%,±0.2,3069259,"±17,064",15.7%,±0.1,2222533,"±13,581",21.4%,±0.1,25896,"±1,992",3.4%,±0.3,1446306,"±12,633",12.4%,±0.1,287680,"±5,620",7.3%,±0.1,82046,"±3,979",2.0%,±0.1,1428406,"±12,545",11.2%,±0.1,70749,"±3,938",6.7%,±0.4,1353599,"±9,419",26.6%,±0.2,19057,"±2,158",2.2%,±0.2,1137801,"±10,728",16.8%,±0.2,3527027,"±21,372",12.3%,±0.1,40365,"±3,450",1.3%,±0.1,7621,"±1,306",1.2%,±0.2,1631512,"±12,981",19.2%,±0.2,291808,"±8,442",3.9%,±0.1,68679,"±2,800",3.8%,±0.2,370632,"±6,232",6.4%,±0.1,3667,"±1,164",0.6%,±0.2,400936,"±17,309",12.5%,±0.5
            American Indian and Alaska Native,22063,"±2,712",0.5%,±0.1,111371,"±3,747",15.1%,±0.5,330599,"±8,933",4.6%,±0.1,20951,"±2,557",0.7%,±0.1,302792,"±11,731",0.8%,±0.1,55146,"±4,414",1.0%,±0.1,9507,"±2,116",0.3%,±0.1,4397,"±1,388",0.5%,±0.1,1932,±589,0.3%,±0.1,59870,"±6,097",0.3%,±0.1,34485,"±5,808",0.3%,±0.1,3237,±935,0.2%,±0.1,23026,"±2,838",1.3%,±0.2,35846,"±4,591",0.3%,±0.1,14040,"±2,057",0.2%,±0.1,11494,"±1,274",0.4%,±0.1,26829,"±2,776",0.9%,±0.1,8470,"±2,041",0.2%,±0.1,25657,"±3,334",0.6%,±0.1,8566,"±1,165",0.6%,±0.1,13433,"±2,118",0.2%,±0.1,16198,"±3,481",0.2%,±0.1,53012,"±3,871",0.5%,±0.1,60983,"±3,622",1.1%,±0.1,13234,"±1,602",0.4%,±0.1,27705,"±3,183",0.5%,±0.1,68013,"±2,885",6.4%,±0.3,18555,"±3,043",1.0%,±0.2,44666,"±3,794",1.5%,±0.1,3562,"±1,387",0.3%,±0.1,21131,"±4,530",0.2%,±0.1,200659,"±4,124",9.6%,±0.2,84312,"±6,183",0.4%,±0.1,120845,"±4,394",1.2%,±0.1,41270,"±2,276",5.4%,±0.3,25672,"±3,171",0.2%,±0.1,307183,"±5,707",7.8%,±0.1,49051,"±4,039",1.2%,±0.1,21418,"±2,246",0.2%,±0.1,4341,"±1,447",0.4%,±0.1,23672,"±4,704",0.5%,±0.1,78068,"±2,871",8.8%,±0.3,19136,"±2,676",0.3%,±0.1,149997,"±12,706",0.5%,±0.1,34678,"±3,615",1.1%,±0.1,1743,±729,0.3%,±0.1,22265,"±3,362",0.3%,±0.1,97329,"±6,465",1.3%,±0.1,2629,±839,0.1%,±0.1,50364,"±2,531",0.9%,±0.1,16185,"±1,713",2.8%,±0.3,4013,"±1,404",0.1%,±0.1
                Cherokee tribal grouping,N,N,N,N,752,±649,0.1%,±0.1,3945,"±1,359",0.1%,±0.1,N,N,N,N,15871,"±2,493",0.0%,±0.1,4602,"±1,365",0.1%,±0.1,N,N,N,N,N,N,N,N,N,N,N,N,10006,"±1,938",0.0%,±0.1,5950,"±1,649",0.1%,±0.1,865,±605,0.1%,±0.1,894,±521,0.1%,±0.1,3055,"±1,023",0.0%,±0.1,1877,±786,0.0%,±0.1,603,±412,0.0%,±0.1,5161,"±1,070",0.2%,±0.1,2926,"±1,007",0.1%,±0.1,N,N,N,N,N,N,N,N,1091,±519,0.0%,±0.1,N,N,N,N,1306,±512,0.0%,±0.1,466,±271,0.0%,±0.1,N,N,N,N,8373,"±1,600",0.1%,±0.1,266,±251,0.0%,±0.1,128,±124,0.0%,±0.1,2626,"±1,119",0.1%,±0.1,N,N,N,N,N,N,N,N,798,±424,0.0%,±0.1,2131,±928,0.0%,±0.1,14768,"±1,827",0.1%,±0.1,253,±235,0.0%,±0.1,6858,"±2,009",0.1%,±0.1,120019,"±4,196",3.0%,±0.1,3531,"±1,195",0.1%,±0.1,2569,"±1,058",0.0%,±0.1,N,N,N,N,N,N,N,N,54,±65,0.0%,±0.1,5325,"±1,386",0.1%,±0.1,20203,"±5,236",0.1%,±0.1,709,±431,0.0%,±0.1,N,N,N,N,4424,"±1,558",0.1%,±0.1,3544,"±1,044",0.0%,±0.1,N,N,N,N,1102,±512,0.0%,±0.1,440,±445,0.1%,±0.1,N,N,N,N
                Chippewa tribal grouping,N,N,N,N,962,±925,0.1%,±0.1,263,±268,0.0%,±0.1,N,N,N,N,1795,±647,0.0%,±0.1,590,±351,0.0%,±0.1,N,N,N,N,N,N,N,N,N,N,N,N,1459,±742,0.0%,±0.1,727,±622,0.0%,±0.1,0,±189,0.0%,±0.1,218,±295,0.0%,±0.1,2651,"±1,224",0.0%,±0.1,253,±217,0.0%,±0.1,153,±142,0.0%,±0.1,241,±378,0.0%,±0.1,665,±597,0.0%,±0.1,N,N,N,N,N,N,N,N,101,±139,0.0%,±0.1,N,N,N,N,26133,"±2,622",0.3%,±0.1,37574,"±3,133",0.7%,±0.1,N,N,N,N,462,±359,0.0%,±0.1,2546,±863,0.2%,±0.1,135,±191,0.0%,±0.1,512,±505,0.0%,±0.1,N,N,N,N,N,N,N,N,806,±641,0.0%,±0.1,248,±318,0.0%,±0.1,813,±710,0.0%,±0.1,15261,"±1,734",2.0%,±0.2,622,±463,0.0%,±0.1,225,±166,0.0%,±0.1,955,±493,0.0%,±0.1,351,±267,0.0%,±0.1,N,N,N,N,N,N,N,N,819,±513,0.1%,±0.1,176,±188,0.0%,±0.1,1879,"±1,202",0.0%,±0.1,0,±193,0.0%,±0.1,N,N,N,N,650,±458,0.0%,±0.1,1844,±850,0.0%,±0.1,N,N,N,N,14794,"±1,587",0.3%,±0.1,7,±15,0.0%,±0.1,N,N,N,N
                Navajo tribal grouping,N,N,N,N,38,±67,0.0%,±0.1,151713,"±7,057",2.1%,±0.1,N,N,N,N,10793,"±2,572",0.0%,±0.1,7270,"±1,878",0.1%,±0.1,N,N,N,N,N,N,N,N,N,N,N,N,1277,±968,0.0%,±0.1,502,±389,0.0%,±0.1,135,±117,0.0%,±0.1,974,±440,0.1%,±0.1,135,±212,0.0%,±0.1,84,±104,0.0%,±0.1,264,±218,0.0%,±0.1,685,±295,0.0%,±0.1,106,±157,0.0%,±0.1,N,N,N,N,N,N,N,N,17,±34,0.0%,±0.1,N,N,N,N,581,±519,0.0%,±0.1,971,±813,0.0%,±0.1,N,N,N,N,1210,±790,0.0%,±0.1,605,±513,0.1%,±0.1,421,±372,0.0%,±0.1,2425,"±1,174",0.1%,±0.1,N,N,N,N,N,N,N,N,124715,"±4,588",6.0%,±0.2,375,±403,0.0%,±0.1,613,±441,0.0%,±0.1,430,±415,0.1%,±0.1,312,±297,0.0%,±0.1,945,±452,0.0%,±0.1,1246,±700,0.0%,±0.1,302,±372,0.0%,±0.1,N,N,N,N,N,N,N,N,259,±219,0.0%,±0.1,663,±446,0.0%,±0.1,6031,"±2,654",0.0%,±0.1,15970,"±1,835",0.5%,±0.1,N,N,N,N,339,±292,0.0%,±0.1,782,±379,0.0%,±0.1,N,N,N,N,1170,±738,0.0%,±0.1,1101,±956,0.2%,±0.2,N,N,N,N
                Sioux tribal grouping,N,N,N,N,797,±520,0.1%,±0.1,1533,±627,0.0%,±0.1,N,N,N,N,3181,"±1,171",0.0%,±0.1,4219,"±1,288",0.1%,±0.1,N,N,N,N,N,N,N,N,N,N,N,N,560,±446,0.0%,±0.1,347,±284,0.0%,±0.1,123,±152,0.0%,±0.1,426,±385,0.0%,±0.1,222,±174,0.0%,±0.1,652,±473,0.0%,±0.1,1964,±681,0.1%,±0.1,1378,±652,0.0%,±0.1,110,±204,0.0%,±0.1,N,N,N,N,N,N,N,N,436,±393,0.0%,±0.1,N,N,N,N,304,±217,0.0%,±0.1,8043,"±2,215",0.1%,±0.1,N,N,N,N,653,±330,0.0%,±0.1,3214,"±1,001",0.3%,±0.1,4438,"±1,104",0.2%,±0.1,857,±451,0.0%,±0.1,N,N,N,N,N,N,N,N,622,±329,0.0%,±0.1,905,±555,0.0%,±0.1,450,±271,0.0%,±0.1,13335,"±1,756",1.8%,±0.2,932,±661,0.0%,±0.1,1374,±567,0.0%,±0.1,1727,±911,0.0%,±0.1,447,±425,0.0%,±0.1,N,N,N,N,N,N,N,N,57592,"±3,212",6.5%,±0.4,92,±144,0.0%,±0.1,3036,"±1,758",0.0%,±0.1,2265,"±1,201",0.1%,±0.1,N,N,N,N,364,±334,0.0%,±0.1,2214,"±1,254",0.0%,±0.1,N,N,N,N,226,±171,0.0%,±0.1,1107,±557,0.2%,±0.1,N,N,N,N
            Asian,65095,"±3,494",1.3%,±0.1,46381,"±2,635",6.3%,±0.4,237873,"±5,191",3.3%,±0.1,47548,"±2,631",1.6%,±0.1,5821585,"±21,930",14.7%,±0.1,180277,"±5,175",3.2%,±0.1,165855,"±2,587",4.6%,±0.1,39023,"±1,595",4.0%,±0.2,27538,"±1,377",3.9%,±0.2,593634,"±8,233",2.8%,±0.1,436051,"±6,106",4.1%,±0.1,534479,"±10,657",37.6%,±0.8,27026,"±2,610",1.5%,±0.1,717938,"±6,617",5.6%,±0.1,154220,"±5,521",2.3%,±0.1,79971,"±3,082",2.5%,±0.1,82444,"±3,810",2.8%,±0.1,65300,"±3,463",1.5%,±0.1,76255,"±3,102",1.6%,±0.1,15683,"±1,312",1.2%,±0.1,378985,"±6,008",6.3%,±0.1,472403,"±6,144",6.8%,±0.1,325828,"±5,390",3.3%,±0.1,273126,"±4,461",4.9%,±0.1,26142,"±2,250",0.9%,±0.1,121417,"±3,689",2.0%,±0.1,8517,"±1,308",0.8%,±0.1,45779,"±2,151",2.4%,±0.1,250137,"±5,954",8.2%,±0.2,36048,"±2,303",2.7%,±0.2,868213,"±6,049",9.7%,±0.1,34155,"±2,409",1.6%,±0.1,1666113,"±12,409",8.5%,±0.1,306682,"±5,178",3.0%,±0.1,13749,"±2,149",1.8%,±0.3,271762,"±5,995",2.3%,±0.1,84694,"±2,903",2.1%,±0.1,190680,"±5,297",4.6%,±0.1,455027,"±6,288",3.6%,±0.1,36064,"±1,723",3.4%,±0.2,80969,"±3,690",1.6%,±0.1,15023,"±2,237",1.7%,±0.3,119046,"±4,317",1.8%,±0.1,1430857,"±9,655",5.0%,±0.1,75898,"±3,242",2.4%,±0.1,11859,"±1,196",1.9%,±0.2,555422,"±8,506",6.5%,±0.1,661781,"±8,253",8.8%,±0.1,13459,"±2,008",0.7%,±0.1,165380,"±4,021",2.8%,±0.1,5807,"±1,077",1.0%,±0.2,5144,"±1,803",0.2%,±0.1
