                Asian Indian,14401,"±3,432",0.3%,±0.1,1376,±794,0.2%,±0.1,58926,"±6,264",0.8%,±0.1,9581,"±2,380",0.3%,±0.1,815948,"±24,938",2.1%,±0.1,35512,"±4,475",0.6%,±0.1,70961,"±5,699",2.0%,±0.2,15566,"±3,255",1.6%,±0.3,6317,"±1,333",0.9%,±0.2,171778,"±12,065",0.8%,±0.1,141915,"±8,916",1.3%,±0.1,2249,"±1,344",0.2%,±0.1,2942,"±1,241",0.2%,±0.1,256122,"±10,098",2.0%,±0.1,43709,"±5,003",0.7%,±0.1,12415,"±2,942",0.4%,±0.1,20564,"±3,534",0.7%,±0.1,14340,"±2,510",0.3%,±0.1,9858,"±2,267",0.2%,±0.1,2629,"±1,173",0.2%,±0.1,99035,"±7,500",1.6%,±0.1,120063,"±7,981",1.7%,±0.1,117983,"±7,664",1.2%,±0.1,43596,"±5,198",0.8%,±0.1,5906,"±2,181",0.2%,±0.1,30435,"±3,766",0.5%,±0.1,822,±491,0.1%,±0.1,8337,"±2,162",0.4%,±0.1,11123,"±2,466",0.4%,±0.1,9712,"±2,555",0.7%,±0.2,387244,"±12,057",4.3%,±0.1,6608,"±2,102",0.3%,±0.1,379439,"±15,283",1.9%,±0.1,104438,"±7,119",1.0%,±0.1,3189,"±1,477",0.4%,±0.2,95049,"±7,750",0.8%,±0.1,18453,"±2,877",0.5%,±0.1,26182,"±3,930",0.6%,±0.1,143539,"±8,217",1.1%,±0.1,8342,"±1,871",0.8%,±0.2,21145,"±4,064",0.4%,±0.1,3533,"±1,289",0.4%,±0.1,26391,"±3,483",0.4%,±0.1,452598,"±17,903",1.6%,±0.1,12079,"±3,028",0.4%,±0.1,922,±482,0.1%,±0.1,153601,"±9,715",1.8%,±0.1,128356,"±8,115",1.7%,±0.1,2331,±877,0.1%,±0.1,33093,"±3,547",0.6%,±0.1,435,±461,0.1%,±0.1,N,N,N,N
                Chinese,9858,"±2,485",0.2%,±0.1,2988,"±1,213",0.4%,±0.2,46853,"±5,117",0.7%,±0.1,5053,"±1,720",0.2%,±0.1,1617484,"±24,290",4.1%,±0.1,33422,"±3,131",0.6%,±0.1,37189,"±3,769",1.0%,±0.1,8521,"±2,095",0.9%,±0.2,8516,"±1,968",1.2%,±0.3,112990,"±10,287",0.5%,±0.1,68404,"±7,904",0.7%,±0.1,56584,"±4,958",4.0%,±0.3,5862,"±2,369",0.3%,±0.1,132447,"±8,810",1.0%,±0.1,33644,"±3,957",0.5%,±0.1,13121,"±1,977",0.4%,±0.1,11675,"±2,478",0.4%,±0.1,13302,"±2,283",0.3%,±0.1,11547,"±2,470",0.2%,±0.1,3305,±862,0.2%,±0.1,89525,"±7,569",1.5%,±0.1,179716,"±8,614",2.6%,±0.1,60872,"±4,486",0.6%,±0.1,33553,"±3,888",0.6%,±0.1,4659,"±1,380",0.2%,±0.1,29621,"±3,299",0.5%,±0.1,1501,±634,0.1%,±0.1,5710,"±1,434",0.3%,±0.1,39196,"±5,103",1.3%,±0.2,8141,"±2,121",0.6%,±0.2,153447,"±8,447",1.7%,±0.1,6222,"±1,494",0.3%,±0.1,705047,"±17,094",3.6%,±0.1,53510,"±5,052",0.5%,±0.1,791,±422,0.1%,±0.1,59617,"±6,336",0.5%,±0.1,11523,"±2,372",0.3%,±0.1,42189,"±5,169",1.0%,±0.1,119817,"±7,260",0.9%,±0.1,8335,"±2,194",0.8%,±0.2,15787,"±2,930",0.3%,±0.1,1107,±792,0.1%,±0.1,21534,"±4,041",0.3%,±0.1,233097,"±12,191",0.8%,±0.1,14285,"±2,904",0.5%,±0.1,3587,"±1,377",0.6%,±0.2,78031,"±5,363",0.9%,±0.1,150344,"±8,668",2.0%,±0.1,3893,"±1,380",0.2%,±0.1,26627,"±3,264",0.5%,±0.1,1863,±824,0.3%,±0.1,N,N,N,N
                Filipino,5941,"±1,327",0.1%,±0.1,28497,"±3,915",3.9%,±0.5,44169,"±4,993",0.6%,±0.1,4696,"±1,470",0.2%,±0.1,1299922,"±23,258",3.3%,±0.1,19141,"±3,721",0.3%,±0.1,9547,"±2,125",0.3%,±0.1,3507,"±1,365",0.4%,±0.1,3006,"±1,196",0.4%,±0.2,107199,"±8,437",0.5%,±0.1,26109,"±5,155",0.2%,±0.1,220315,"±11,539",15.5%,±0.8,6703,"±1,744",0.4%,±0.1,124649,"±8,120",1.0%,±0.1,14346,"±2,668",0.2%,±0.1,5029,"±1,225",0.2%,±0.1,4505,"±1,221",0.2%,±0.1,6224,"±1,607",0.1%,±0.1,11479,"±3,097",0.2%,±0.1,2544,"±1,011",0.2%,±0.1,49140,"±5,925",0.8%,±0.1,15409,"±2,833",0.2%,±0.1,26962,"±3,727",0.3%,±0.1,13188,"±2,641",0.2%,±0.1,3930,"±1,375",0.1%,±0.1,11302,"±2,102",0.2%,±0.1,2771,"±1,042",0.3%,±0.1,4832,"±1,178",0.3%,±0.1,129739,"±7,539",4.3%,±0.2,2931,"±1,171",0.2%,±0.1,120222,"±8,704",1.3%,±0.1,7927,"±1,794",0.4%,±0.1,111456,"±9,121",0.6%,±0.1,20713,"±3,135",0.2%,±0.1,2763,"±1,534",0.4%,±0.2,18275,"±2,650",0.2%,±0.1,4314,"±1,121",0.1%,±0.1,24144,"±4,169",0.6%,±0.1,25128,"±3,284",0.2%,±0.1,1818,±830,0.2%,±0.1,13260,"±2,574",0.3%,±0.1,1473,±884,0.2%,±0.1,11865,"±3,219",0.2%,±0.1,146320,"±11,335",0.5%,±0.1,8034,"±2,030",0.3%,±0.1,1428,"±1,020",0.2%,±0.2,80656,"±6,392",0.9%,±0.1,100877,"±8,604",1.3%,±0.1,1994,±921,0.1%,±0.1,8965,"±1,712",0.2%,±0.1,796,±507,0.1%,±0.1,N,N,N,N
                Japanese,2921,±987,0.1%,±0.1,749,±474,0.1%,±0.1,11983,"±2,232",0.2%,±0.1,1728,±893,0.1%,±0.1,279888,"±12,443",0.7%,±0.1,9912,"±1,880",0.2%,±0.1,3917,"±1,123",0.1%,±0.1,612,±421,0.1%,±0.1,1670,±882,0.2%,±0.1,17542,"±3,392",0.1%,±0.1,9166,"±2,068",0.1%,±0.1,163174,"±8,102",11.5%,±0.6,2918,"±1,203",0.2%,±0.1,17958,"±2,295",0.1%,±0.1,5519,"±1,777",0.1%,±0.1,1494,±775,0.0%,±0.1,1746,±916,0.1%,±0.1,4806,"±1,673",0.1%,±0.1,1172,±799,0.0%,±0.1,1259,±632,0.1%,±0.1,6545,"±1,697",0.1%,±0.1,8933,"±1,888",0.1%,±0.1,13900,"±2,553",0.1%,±0.1,5126,"±1,298",0.1%,±0.1,585,±399,0.0%,±0.1,2388,"±1,159",0.0%,±0.1,693,±377,0.1%,±0.1,1632,±745,0.1%,±0.1,11514,"±2,257",0.4%,±0.1,744,±358,0.1%,±0.1,12448,"±2,772",0.1%,±0.1,1518,±593,0.1%,±0.1,38853,"±4,434",0.2%,±0.1,8752,"±1,971",0.1%,±0.1,314,±263,0.0%,±0.1,11629,"±3,399",0.1%,±0.1,2032,"±1,025",0.1%,±0.1,13293,"±2,423",0.3%,±0.1,5056,"±1,189",0.0%,±0.1,903,±707,0.1%,±0.1,3393,"±1,285",0.1%,±0.1,250,±299,0.0%,±0.1,5158,"±1,531",0.1%,±0.1,24311,"±3,266",0.1%,±0.1,6208,"±1,541",0.2%,±0.1,208,±192,0.0%,±0.1,10850,"±1,690",0.1%,±0.1,38846,"±3,093",0.5%,±0.1,686,±406,0.0%,±0.1,4663,"±2,088",0.1%,±0.1,1211,±806,0.2%,±0.1,N,N,N,N
                Korean,10238,"±2,730",0.2%,±0.1,3484,"±1,317",0.5%,±0.2,15633,"±2,870",0.2%,±0.1,3178,"±1,429",0.1%,±0.1,470112,"±16,652",1.2%,±0.1,22998,"±3,305",0.4%,±0.1,9129,"±2,374",0.3%,±0.1,2020,"±1,077",0.2%,±0.1,3273,±818,0.5%,±0.1,30485,"±4,264",0.1%,±0.1,53227,"±6,262",0.5%,±0.1,24804,"±3,553",1.7%,±0.3,895,±609,0.1%,±0.1,56597,"±5,468",0.4%,±0.1,9780,"±2,375",0.1%,±0.1,6717,"±1,890",0.2%,±0.1,5136,"±1,352",0.2%,±0.1,5148,"±1,680",0.1%,±0.1,2534,±926,0.1%,±0.1,1811,±761,0.1%,±0.1,45273,"±4,835",0.7%,±0.1,23561,"±3,339",0.3%,±0.1,27174,"±3,441",0.3%,±0.1,16431,"±2,075",0.3%,±0.1,978,±492,0.0%,±0.1,11526,"±1,973",0.2%,±0.1,998,±748,0.1%,±0.1,3833,"±1,292",0.2%,±0.1,11750,"±2,453",0.4%,±0.1,1870,±980,0.1%,±0.1,99165,"±6,540",1.1%,±0.1,2490,±917,0.1%,±0.1,123507,"±9,299",0.6%,±0.1,22544,"±3,253",0.2%,±0.1,1233,±770,0.2%,±0.1,17893,"±3,456",0.2%,±0.1,7244,"±2,040",0.2%,±0.1,17743,"±3,085",0.4%,±0.1,39144,"±4,971",0.3%,±0.1,1538,±628,0.1%,±0.1,4741,"±1,655",0.1%,±0.1,763,±411,0.1%,±0.1,9488,"±1,924",0.1%,±0.1,80649,"±8,724",0.3%,±0.1,6756,"±1,975",0.2%,±0.1,1623,±732,0.3%,±0.1,73411,"±6,916",0.9%,±0.1,66990,"±5,710",0.9%,±0.1,1396,±753,0.1%,±0.1,8900,"±2,101",0.2%,±0.1,468,±319,0.1%,±0.1,N,N,N,N
                Vietnamese,10185,"±2,649",0.2%,±0.1,810,±661,0.1%,±0.1,27751,"±5,642",0.4%,±0.1,8184,"±1,929",0.3%,±0.1,674243,"±18,579",1.7%,±0.1,25088,"±4,172",0.4%,±0.1,8792,"±2,262",0.2%,±0.1,2152,"±1,345",0.2%,±0.1,1628,±579,0.2%,±0.1,72431,"±9,376",0.3%,±0.1,60114,"±8,216",0.6%,±0.1,12213,"±3,517",0.9%,±0.2,3349,"±1,812",0.2%,±0.1,35367,"±6,566",0.3%,±0.1,10075,"±2,400",0.2%,±0.1,11705,"±2,817",0.4%,±0.1,17089,"±3,629",0.6%,±0.1,5819,"±1,829",0.1%,±0.1,29392,"±3,950",0.6%,±0.1,1930,"±1,386",0.1%,±0.1,28104,"±5,030",0.5%,±0.1,52771,"±7,483",0.8%,±0.1,21132,"±3,790",0.2%,±0.1,25404,"±4,198",0.5%,±0.1,6038,"±1,692",0.2%,±0.1,17208,"±4,212",0.3%,±0.1,831,±746,0.1%,±0.1,7132,"±1,555",0.4%,±0.1,17744,"±4,766",0.6%,±0.2,3361,"±1,494",0.2%,±0.1,19085,"±3,785",0.2%,±0.1,5779,"±2,427",0.3%,±0.1,29751,"±4,530",0.2%,±0.1,28006,"±4,181",0.3%,±0.1,778,±672,0.1%,±0.1,17619,"±3,661",0.2%,±0.1,20629,"±3,583",0.5%,±0.1,32447,"±5,643",0.8%,±0.1,40920,"±4,670",0.3%,±0.1,1916,"±1,808",0.2%,±0.2,13641,"±3,275",0.3%,±0.1,930,±859,0.1%,±0.1,14882,"±3,476",0.2%,±0.1,267996,"±15,600",0.9%,±0.1,9663,"±2,573",0.3%,±0.1,427,±356,0.1%,±0.1,68558,"±8,164",0.8%,±0.1,84125,"±8,007",1.1%,±0.1,1137,±818,0.1%,±0.1,6024,"±1,642",0.1%,±0.1,40,±56,0.0%,±0.1,N,N,N,N
                Other Asian,11551,"±2,497",0.2%,±0.1,8477,"±2,974",1.1%,±0.4,32558,"±5,083",0.5%,±0.1,15128,"±3,057",0.5%,±0.1,663988,"±21,176",1.7%,±0.1,34204,"±4,509",0.6%,±0.1,26320,"±3,447",0.7%,±0.1,6645,"±2,846",0.7%,±0.3,3128,±891,0.4%,±0.1,81209,"±6,919",0.4%,±0.1,77116,"±8,218",0.7%,±0.1,55140,"±4,620",3.9%,±0.3,4357,"±1,944",0.2%,±0.1,94798,"±8,476",0.7%,±0.1,37147,"±5,371",0.6%,±0.1,29490,"±3,525",0.9%,±0.1,21729,"±3,395",0.7%,±0.1,15661,"±2,500",0.4%,±0.1,10273,"±2,247",0.2%,±0.1,2205,±908,0.2%,±0.1,61363,"±5,941",1.0%,±0.1,71950,"±7,313",1.0%,±0.1,57805,"±6,575",0.6%,±0.1,135828,"±6,483",2.4%,±0.1,4046,"±1,604",0.1%,±0.1,18937,"±3,013",0.3%,±0.1,901,±633,0.1%,±0.1,14303,"±2,368",0.7%,±0.1,29071,"±4,901",1.0%,±0.2,9289,"±2,384",0.7%,±0.2,76602,"±6,074",0.9%,±0.1,3611,"±1,120",0.2%,±0.1,278060,"±15,580",1.4%,±0.1,68719,"±7,633",0.7%,±0.1,4681,"±1,743",0.6%,±0.2,51680,"±8,311",0.4%,±0.1,20499,"±2,902",0.5%,±0.1,34682,"±4,591",0.8%,±0.1,81423,"±6,597",0.6%,±0.1,13212,"±2,896",1.2%,±0.3,9002,"±2,576",0.2%,±0.1,6967,"±1,739",0.8%,±0.2,29728,"±4,284",0.4%,±0.1,225886,"±15,966",0.8%,±0.1,18873,"±3,700",0.6%,±0.1,3664,"±1,920",0.6%,±0.3,90315,"±8,177",1.1%,±0.1,92243,"±7,496",1.2%,±0.1,2022,"±1,360",0.1%,±0.1,77108,"±4,553",1.3%,±0.1,994,±792,0.2%,±0.1,N,N,N,N
            Native Hawaiian and Other Pacific Islander,1797,±889,0.0%,±0.1,7958,"±1,583",1.1%,±0.2,15661,"±1,992",0.2%,±0.1,9398,"±1,053",0.3%,±0.1,155739,"±5,748",0.4%,±0.1,7585,"±1,614",0.1%,±0.1,1017,±764,0.0%,±0.1,896,±665,0.1%,±0.1,397,±171,0.1%,±0.1,12841,"±2,297",0.1%,±0.1,14049,"±5,305",0.1%,±0.1,144971,"±5,304",10.2%,±0.4,2763,"±1,450",0.2%,±0.1,5317,"±1,835",0.0%,±0.1,3470,"±1,344",0.1%,±0.1,3463,"±1,362",0.1%,±0.1,2929,"±2,017",0.1%,±0.1,4943,"±2,544",0.1%,±0.1,1133,±750,0.0%,±0.1,465,±455,0.0%,±0.1,7311,"±4,478",0.1%,±0.1,2775,±899,0.0%,±0.1,3907,±870,0.0%,±0.1,2396,"±1,082",0.0%,±0.1,1372,±948,0.0%,±0.1,7385,"±1,417",0.1%,±0.1,990,±648,0.1%,±0.1,1289,±752,0.1%,±0.1,19612,"±1,707",0.6%,±0.1,515,±486,0.0%,±0.1,2909,"±1,258",0.0%,±0.1,2465,"±1,113",0.1%,±0.1,9424,"±2,807",0.0%,±0.1,10218,"±3,234",0.1%,±0.1,339,±360,0.0%,±0.1,4228,"±1,490",0.0%,±0.1,3859,"±1,187",0.1%,±0.1,18758,"±1,929",0.4%,±0.1,5008,"±1,684",0.0%,±0.1,883,±901,0.1%,±0.1,4004,"±1,941",0.1%,±0.1,51,±77,0.0%,±0.1,5494,"±2,158",0.1%,±0.1,21463,"±3,103",0.1%,±0.1,29362,"±2,108",0.9%,±0.1,139,±220,0.0%,±0.1,5659,"±1,226",0.1%,±0.1,53924,"±2,794",0.7%,±0.1,451,±352,0.0%,±0.1,1961,±533,0.0%,±0.1,1111,±877,0.2%,±0.2,767,±976,0.0%,±0.1
                Native Hawaiian,716,±599,0.0%,±0.1,383,±300,0.1%,±0.1,4780,"±1,997",0.1%,±0.1,N,N,N,N,22294,"±3,326",0.1%,±0.1,1994,±733,0.0%,±0.1,N,N,N,N,N,N,N,N,N,N,N,N,2772,"±1,225",0.0%,±0.1,2435,"±1,789",0.0%,±0.1,91442,"±6,890",6.4%,±0.5,1432,"±1,140",0.1%,±0.1,1927,±757,0.0%,±0.1,996,±703,0.0%,±0.1,541,±474,0.0%,±0.1,572,±404,0.0%,±0.1,610,±586,0.0%,±0.1,N,N,N,N,N,N,N,N,N,N,N,N,647,±536,0.0%,±0.1,822,±443,0.0%,±0.1,452,±279,0.0%,±0.1,875,±902,0.0%,±0.1,1844,"±1,238",0.0%,±0.1,N,N,N,N,N,N,N,N,6472,"±1,757",0.2%,±0.1,N,N,N,N,N,N,N,N,N,N,N,N,3087,"±1,659",0.0%,±0.1,1416,±499,0.0%,±0.1,N,N,N,N,828,±517,0.0%,±0.1,1356,±583,0.0%,±0.1,6114,"±2,073",0.1%,±0.1,935,±498,0.0%,±0.1,N,N,N,N,910,±782,0.0%,±0.1,N,N,N,N,1178,±926,0.0%,±0.1,6038,"±1,609",0.0%,±0.1,2090,"±1,076",0.1%,±0.1,N,N,N,N,1797,±820,0.0%,±0.1,7135,"±1,968",0.1%,±0.1,N,N,N,N,683,±380,0.0%,±0.1,N,N,N,N,N,N,N,N
                Guamanian or Chamorro,352,±324,0.0%,±0.1,1163,"±1,148",0.2%,±0.2,3085,"±1,380",0.0%,±0.1,N,N,N,N,31994,"±5,293",0.1%,±0.1,3276,"±1,622",0.1%,±0.1,N,N,N,N,N,N,N,N,N,N,N,N,4389,"±1,340",0.0%,±0.1,5022,"±3,353",0.0%,±0.1,4363,"±2,530",0.3%,±0.2,791,±662,0.0%,±0.1,789,±461,0.0%,±0.1,1047,±824,0.0%,±0.1,561,±469,0.0%,±0.1,433,±246,0.0%,±0.1,1264,±973,0.0%,±0.1,N,N,N,N,N,N,N,N,N,N,N,N,1126,±564,0.0%,±0.1,1143,±581,0.0%,±0.1,353,±311,0.0%,±0.1,137,±148,0.0%,±0.1,226,±247,0.0%,±0.1,N,N,N,N,N,N,N,N,5668,"±2,108",0.2%,±0.1,N,N,N,N,N,N,N,N,N,N,N,N,1044,±495,0.0%,±0.1,4255,"±2,091",0.0%,±0.1,N,N,N,N,287,±227,0.0%,±0.1,702,±396,0.0%,±0.1,1538,±854,0.0%,±0.1,746,±528,0.0%,±0.1,N,N,N,N,961,±623,0.0%,±0.1,N,N,N,N,1657,"±1,175",0.0%,±0.1,4615,"±1,492",0.0%,±0.1,836,±667,0.0%,±0.1,N,N,N,N,1944,±758,0.0%,±0.1,12067,"±2,305",0.2%,±0.1,N,N,N,N,174,±163,0.0%,±0.1,N,N,N,N,N,N,N,N
                Samoan,0,±201,0.0%,±0.1,4639,"±1,583",0.6%,±0.2,1951,±834,0.0%,±0.1,N,N,N,N,40179,"±5,998",0.1%,±0.1,205,±200,0.0%,±0.1,N,N,N,N,N,N,N,N,N,N,N,N,1653,±919,0.0%,±0.1,705,±663,0.0%,±0.1,11237,"±3,452",0.8%,±0.2,268,±249,0.0%,±0.1,710,±681,0.0%,±0.1,452,±405,0.0%,±0.1,348,±473,0.0%,±0.1,138,±147,0.0%,±0.1,209,±235,0.0%,±0.1,N,N,N,N,N,N,N,N,N,N,N,N,489,±687,0.0%,±0.1,795,±474,0.0%,±0.1,214,±263,0.0%,±0.1,167,±163,0.0%,±0.1,2729,±828,0.0%,±0.1,N,N,N,N,N,N,N,N,3528,"±1,359",0.1%,±0.1,N,N,N,N,N,N,N,N,N,N,N,N,1563,"±1,093",0.0%,±0.1,1218,±880,0.0%,±0.1,N,N,N,N,538,±318,0.0%,±0.1,728,±910,0.0%,±0.1,686,±475,0.0%,±0.1,766,±483,0.0%,±0.1,N,N,N,N,271,±425,0.0%,±0.1,N,N,N,N,1193,"±1,235",0.0%,±0.1,5748,"±2,310",0.0%,±0.1,8386,"±2,493",0.3%,±0.1,N,N,N,N,673,±511,0.0%,±0.1,15187,"±3,403",0.2%,±0.1,N,N,N,N,351,±256,0.0%,±0.1,N,N,N,N,N,N,N,N
                Other Pacific Islander,729,±585,0.0%,±0.1,1773,"±1,365",0.2%,±0.2,5845,"±2,003",0.1%,±0.1,N,N,N,N,61272,"±7,081",0.2%,±0.1,2110,±923,0.0%,±0.1,N,N,N,N,N,N,N,N,N,N,N,N,4027,"±1,224",0.0%,±0.1,5887,"±3,476",0.1%,±0.1,37929,"±5,500",2.7%,±0.4,272,±200,0.0%,±0.1,1891,"±1,640",0.0%,±0.1,975,±697,0.0%,±0.1,2013,"±1,109",0.1%,±0.1,1786,"±1,939",0.1%,±0.1,2860,"±2,199",0.1%,±0.1,N,N,N,N,N,N,N,N,N,N,N,N,513,±360,0.0%,±0.1,1147,±610,0.0%,±0.1,1377,±996,0.0%,±0.1,193,±164,0.0%,±0.1,2586,±660,0.0%,±0.1,N,N,N,N,N,N,N,N,3944,"±1,984",0.1%,±0.1,N,N,N,N,N,N,N,N,N,N,N,N,3730,"±1,961",0.0%,±0.1,3329,"±2,131",0.0%,±0.1,N,N,N,N,2575,"±1,649",0.0%,±0.1,1073,±412,0.0%,±0.1,10420,"±2,293",0.2%,±0.1,2561,"±1,515",0.0%,±0.1,N,N,N,N,1862,"±1,401",0.0%,±0.1,N,N,N,N,1466,"±1,144",0.0%,±0.1,5062,"±2,040",0.0%,±0.1,18050,"±3,086",0.6%,±0.1,N,N,N,N,1245,±609,0.0%,±0.1,19535,"±4,325",0.3%,±0.1,N,N,N,N,753,±267,0.0%,±0.1,N,N,N,N,N,N,N,N
            Some other race,84027,"±7,439",1.7%,±0.2,9780,"±2,618",1.3%,±0.4,373688,"±19,089",5.2%,±0.3,84917,"±6,739",2.8%,±0.2,5453229,"±70,977",13.8%,±0.2,196831,"±13,409",3.5%,±0.2,195208,"±12,191",5.5%,±0.3,19652,"±4,198",2.0%,±0.4,30897,"±5,312",4.4%,±0.8,708740,"±33,569",3.3%,±0.2,301148,"±17,722",2.9%,±0.2,18052,"±3,227",1.3%,±0.2,59217,"±7,449",3.4%,±0.4,712778,"±25,545",5.6%,±0.2,162303,"±10,635",2.4%,±0.2,30713,"±5,286",1.0%,±0.2,73293,"±8,142",2.5%,±0.3,51887,"±6,124",1.2%,±0.1,65366,"±7,711",1.4%,±0.2,3264,"±1,154",0.2%,±0.1,304042,"±15,437",5.0%,±0.3,303331,"±15,326",4.4%,±0.2,118467,"±9,068",1.2%,±0.1,102814,"±7,851",1.8%,±0.1,29778,"±4,251",1.0%,±0.1,56557,"±6,735",0.9%,±0.1,5828,"±1,858",0.5%,±0.2,46473,"±4,917",2.4%,±0.3,358786,"±16,689",11.8%,±0.5,9013,"±2,733",0.7%,±0.2,604334,"±26,210",6.8%,±0.3,144961,"±10,667",6.9%,±0.5,1689845,"±40,232",8.6%,±0.2,326630,"±16,675",3.1%,±0.2,9569,"±2,523",1.3%,±0.3,112136,"±8,017",1.0%,±0.1,110013,"±8,511",2.8%,±0.2,137973,"±11,792",3.3%,±0.3,307572,"±16,186",2.4%,±0.1,59743,"±7,937",5.7%,±0.8,92980,"±8,350",1.8%,±0.2,5782,"±1,672",0.7%,±0.2,101153,"±10,106",1.5%,±0.1,1709445,"±37,101",6.0%,±0.1,171456,"±10,855",5.4%,±0.3,2815,±938,0.4%,±0.1,215743,"±13,057",2.5%,±0.2,344853,"±17,208",4.6%,±0.2,6430,"±2,273",0.4%,±0.1,121475,"±8,843",2.1%,±0.2,8798,"±2,427",1.5%,±0.4,551773,"±17,132",17.3%,±0.5
